Node ID,Node Count,Byzantine Count,Delivered Count,Connectivity,Latency (ms),Message Count,Bytes Sent
8,19,2,1,19,1.002,57,2736
13,19,2,1,19,1.039,57,2736
9,19,2,1,19,1.211,57,2736
18,19,2,1,19,2.196,57,2736
5,19,2,1,19,2.041,38,1824
11,19,2,1,19,1.516,57,2736
15,19,2,1,19,3.670,57,2736
2,19,2,1,19,2.053,38,1824
10,19,2,1,19,2.744,38,1824
19,19,2,1,19,4.002,57,2736
16,19,2,1,19,122.731,88,4224
0,19,2,2,19,2.468,57,2736
12,19,2,1,19,166.012,107,5136
2,19,2,2,19,2.494,75,3600
14,19,2,1,19,162.738,88,4224
1,19,2,1,19,189.097,88,4224
17,19,2,1,19,164.085,88,4224
7,19,2,1,19,164.979,88,4224
6,19,2,1,19,263.363,88,4224
0,19,2,3,19,1.468,75,3600
1,19,2,2,19,9.959,122,5856
6,19,2,2,19,2.947,122,5856
0,19,2,4,19,19.603,93,4464
11,19,2,2,19,1.048,317,15216
15,19,2,2,19,1.603,349,16752
13,19,2,2,19,1.110,349,16752
16,19,2,2,19,1.454,408,19584
12,19,2,2,19,1.975,443,21264
18,19,2,2,19,2.058,459,22032
9,19,2,2,19,2.892,317,15216
8,19,2,2,19,1.126,427,20496
5,19,2,2,19,2.868,459,22032
10,19,2,2,19,1.508,461,22128
14,19,2,2,19,3.506,537,25776
7,19,2,2,19,9.395,505,24240
19,19,2,2,19,1.882,490,23520
1,19,2,3,19,5.835,539,25872
6,19,2,3,19,2.287,555,26640
17,19,2,2,19,11.896,475,22800
8,19,2,3,19,1.957,678,32544
18,19,2,3,19,1.806,799,38352
8,19,2,4,19,3.124,878,42144
13,19,2,3,19,2.194,920,44160
11,19,2,3,19,3.746,1062,50976
10,19,2,3,19,2.624,955,45840
5,19,2,3,19,2.993,923,44304
18,19,2,4,19,2.587,1121,53808
7,19,2,3,19,1.849,1003,48144
16,19,2,3,19,1.372,1088,52224
9,19,2,3,19,2.785,938,45024
12,19,2,3,19,2.041,1107,53136
15,19,2,3,19,10.099,1047,50256
2,19,2,3,19,1.413,1033,49584
19,19,2,3,19,11.167,1122,53856
13,19,2,4,19,2.700,1166,55968
14,19,2,3,19,2.220,1094,52512
5,19,2,4,19,2.059,1244,59712
11,19,2,4,19,1.732,1401,67248
10,19,2,4,19,1.846,1307,62736
9,19,2,4,19,1.318,1123,53904
15,19,2,4,19,1.422,1310,62880
16,19,2,4,19,2.108,1487,71376
7,19,2,4,19,4.245,1448,69504
17,19,2,3,19,1.372,1184,56832
19,19,2,4,19,1.819,1491,71568
2,19,2,4,19,1.515,1445,69360
6,19,2,4,19,1.422,1308,62784
1,19,2,4,19,1.692,1614,77472
14,19,2,4,19,1.961,1491,71568
12,19,2,4,19,1.530,1506,72288
17,19,2,4,19,3.037,1493,71664
